"ID","Key","IDENTIFIER","Name","CODE","ISSCFG_NAME","ELOG_CODE","ELOG_NAME","IMS_NAME","IMS_vty_id"
"1","1","01.0.0","SURROUNDING NETS","","","","","",""
"2","2","01.1.0","With purse lines (purse seines)","PS","With purse lines (purse seines)","PS","With purse lines (purse seines)","Purse Seiners","1"
"3","3","01.1.1","One boat operated purse seines","PS1","One boat operated purse seines","","","Light Seiner","18"
"4","4","01.1.2","Two boats operated purse seines","PS2","Two boats operated purse seines","","","Group Seiner","19"
"5","5","01.2.0","Without purse lines (lampara)","LA","Without purse lines (lampara)","","","",""
"6","6","02.0.0","SEINE NETS","","","","","",""
"7","7","02.1.0","Beach seines","SB","Beach seines","","","",""
"8","8","02.2.0","Boat or vessel seines","SV","Boat or vessel seines","","","",""
"9","9","02.2.1","Danish seines","SDN","Danish seines","SDN","Danish seines","",""
"10","10","02.2.2","Scottish seines","SSC","Scottish seines","SSC","Scottish seines","",""
"11","11","02.2.3","Pair seines","SPR","Pair seines","","","Pair Seines","19"
"12","12","02.9.0","Seine nets (not specified)","SX","Seine nets (not specified)","","","",""
"13","13","03.0.0","TRAWLS","","","","","Trawllers","20"
"14","14","03.1.0","Bottom trawls","","","","","",""
"15","15","03.1.1","Bottom beam trawls","TBB","Bottom beam trawls","TBB","Bottom beam trawls","",""
"16","16","03.1.2","Bottom otter trawls","OTB","Bottom otter trawls","OTB","Bottom otter trawls","",""
"17","17","03.1.3","Bottom pair trawls","PTB","Bottom pair trawls","PTB","Bottom pair trawls","",""
"18","18","03.1.4","Bottom nephrops trawls","TBN","Bottom nephrops trawls","TBN","Bottom nephrops trawls","",""
"19","19","03.1.5","Bottom shrimp trawls","TBS","Bottom shrimp trawls","TBS","Bottom shrimp trawls","",""
"20","20","03.1.9","Bottom trawls (not specified)","TB","Bottom trawls (not specified)","TB","Bottom trawls (not specified)","",""
"21","21","03.2.0","Midwater trawls","","","","","",""
"22","22","03.2.1","Midwater otter trawls","OTM","Midwater otter trawls","OTM","Midwater otter trawls","",""
"23","23","03.2.2","Midwater pair trawls","PTM","Midwater pair trawls","PTM","Midwater pair trawls","",""
"24","24","03.2.3","Midwater shrimp trawls","TMS","Midwater shrimp trawls","","","",""
"25","25","03.2.9","Midwater trawls (not specified)","TM","Midwater trawls (not specified)","","","",""
"26","26","03.3.0","Otter twin trawls","OTT","Otter twin trawls","OTT","Otter twin trawls","",""
"27","27","03.4.9","Otter trawls (not specified)","OT","Otter trawls (not specified)","","","",""
"28","28","03.5.9","Pair trawls (not specified)","PT","Pair trawls (not specified)","","","",""
"29","29","03.9.0","Other trawls (not specified)","TX","Other trawls (not specified)","","","",""
"30","30","04.0.0","DREDGES","","","","","Dredges",""
"31","31","04.1.0","Boat dredges","DRB","Boat dredges","DRB","Boat dredges","",""
"32","32","04.2.0","Hand dredges","DRH","Hand dredges","DRH","Hand dredges","",""
"33","33","05.0.0","LIFT NETS","","","","","Lift Nets",""
"34","34","05.1.0","Portable lift nets","LNP","Portable lift nets","","","",""
"35","35","05.2.0","Boat-operated lift nets","LNB","Boat-operated lift nets","","","",""
"36","36","05.3.0","Shore-operated stationary lift nets","LNS","Shore-operated stationary lift nets","","","",""
"37","37","05.9.0","Lift nets (not specified)","LN","Lift nets (not specified)","","","",""
"38","38","06.0.0","FALLING GEAR","","","","","Falling Gear",""
"39","39","06.1.0","Cast nets","FCN","Cast nets","","","",""
"40","40","06.9.0","Falling gear (not specified)","FG","Falling gear (not specified)","","","",""
"41","41","07.0.0","GILLNETS AND ENTANGLING NETS","","","","","",""
"42","42","07.1.0","Set gillnets (anchored)","GNS","Set gillnets (anchored)","GNS","Set gillnets (anchored)","",""
"43","43","07.2.0","Driftnets","GND","Driftnets","GND","Driftnets","",""
"44","44","07.3.0","Encircling gillnets","GNC","Encircling gillnets","","","",""
"45","45","07.4.0","Fixed gillnets (on stakes)","GNF","Fixed gillnets (on stakes)","","","",""
"46","46","07.5.0","Trammel nets","GTR","Trammel nets","GTR","Trammel nets","",""
"47","47","07.6.0","Combined gillnets-trammel nets","GTN","Combined gillnets-trammel nets","","","",""
"48","48","07.9.0","Gillnets and entangling nets (not specified)","GEN","Gillnets and entangling nets (not specified)","","","",""
"49","49","07.9.1","Gillnets (not specified)","GN","Gillnets (not specified)","GN","Gillnets (not specified)","",""
"50","50","08.0.0","TRAPS","","","","","Traps","16"
"51","51","08.1.0","Stationary uncovered pound nets","FPN","Stationary uncovered pound nets","FPN","Stationary uncovered pound nets","",""
"52","52","08.2.0","Pots","FPO","Pots","FPO","Pots","Pots/Dropline/Crab",""
"53","53","08.3.0","Fyke nets","FYK","Fyke nets","FYK","Fyke nets","",""
"54","54","08.4.0","Stow nets","FSN","Stow nets","","","",""
"55","55","08.5.0","Barriers, fences, weirs, etc.","FWR","Barriers, fences, weirs, etc.","","","",""
"56","56","08.6.0","Aerial traps","FAR","Aerial traps","","","",""
"57","57","08.9.0","Traps (not specified)","FIX","Traps (not specified)","FIX","Traps (not specified)","",""
"58","58","09.0.0","HOOKS AND LINES","","","","","Hooks and Line",""
"59","59","09.1.0","Handlines and pole-lines (hand-operated)","LHP","Handlines and pole-lines (hand-operated)","LHP","Handlines and pole-lines (hand-operated)","Pole and Line","3"
"60","60","09.2.0","Handlines and pole-lines (mechanized)","LHM","Handlines and pole-lines (mechanized)","LHM","Handlines and pole-lines (mechanized)","Tuna Handline","15"
"61","61","09.3.0","Set longlines","LLS","Set longlines","LLS","Set longlines","",""
"62","62","09.4.0","Drifting longlines","LLD","Drifting longlines","LLD","Drifting longlines","",""
"63","63","09.5.0","Longlines (not specified)","LL","Longlines (not specified)","LL","Longlines (not specified)","Longliner","2"
"64","64","09.6.0","Trolling lines","LTL","Trolling lines","","","Trolling lines","5"
"65","65","09.9.0","Hooks and lines (not specified)","LX","Hooks and lines (not specified)","LX","Hooks and lines (not specified)","",""
"66","66","10.0.0","GRAPPLING AND WOUNDING","","","","","Grappling and Wounding",""
"67","67","10.1.0","Harpoons","HAR","Harpoons","","","",""
"68","68","11.0.0","HARVESTING MACHINES","","","","","Haversting Machines",""
"69","69","11.1.0","Pumps","HMP","Pumps","","","",""
"70","70","11.2.0","Mechanized dredges","HMD","Mechanized dredges","HMD","Mechanized dredges","",""
"71","71","11.9.0","Harvesting machines (not specified)","HMX","Harvesting machines (not specified)","","","",""
"72","72","20.0.0","MISCELLANEOUS GEAR","MIS","MISCELLANEOUS GEAR","MIS","MISCELLANEOUS GEAR","Other Gear Type","20"
"73","73","25.0.0","RECREATIONAL FISHING GEAR","RG","RECREATIONAL FISHING GEAR","","","Recreational Gear Type",""
"74","74","99.0.0","GEAR NOT KNOW OR NOT SPECIFIED","NK","GEAR NOT KNOW OR NOT SPECIFIED","","","Unknown",""
"75","75","20.0.0","Bunker","BR","Bunker","","Bunker","Bunker","7"
"76","76","20.0.0","Carrier","RC","Carrier","","Carrier","Carrier","9"
"77","77","20.0.0","Ultra Low Temprature","ULT","Ultra Low Temprature","","Ultra Low Temprature","Ultra Low Temprature",""
